set_id,question_number,question_text,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,quiz_type,difficulty,explanation,improvement_note,notation_data
"gen-indian-carnatic-theory-001","1","In the Carnatic system, what is the 1st swara in the saptak?","Sa","Ri","Ga","Ma","Carnatic Theory","indian_classical","beginner","The seven swaras in order are: Sa, Ri, Ga, Ma, Pa, Da, Ni. Sa is the 1st swara.","",""
"gen-indian-carnatic-theory-002","2","In the Carnatic system, what is the 2nd swara in the saptak?","Ri","Ni","Ma","Pa","Carnatic Theory","indian_classical","beginner","The seven swaras in order are: Sa, Ri, Ga, Ma, Pa, Da, Ni. Ri is the 2nd swara.","",""
"gen-indian-carnatic-theory-003","3","In the Carnatic system, what is the 3rd swara in the saptak?","Ga","Sa","Ri","Ma","Carnatic Theory","indian_classical","beginner","The seven swaras in order are: Sa, Ri, Ga, Ma, Pa, Da, Ni. Ga is the 3rd swara.","",""
"gen-indian-carnatic-theory-004","4","In the Carnatic system, what is the 4th swara in the saptak?","Ma","Ri","Ni","Sa","Carnatic Theory","indian_classical","beginner","The seven swaras in order are: Sa, Ri, Ga, Ma, Pa, Da, Ni. Ma is the 4th swara.","",""
"gen-indian-carnatic-theory-005","5","In the Carnatic system, what is the 5th swara in the saptak?","Pa","Ri","Da","Ni","Carnatic Theory","indian_classical","beginner","The seven swaras in order are: Sa, Ri, Ga, Ma, Pa, Da, Ni. Pa is the 5th swara.","",""
"gen-indian-carnatic-theory-006","6","In the Carnatic system, what is the 6th swara in the saptak?","Da","Pa","Ni","Ma","Carnatic Theory","indian_classical","beginner","The seven swaras in order are: Sa, Ri, Ga, Ma, Pa, Da, Ni. Da is the 6th swara.","",""
"gen-indian-carnatic-theory-007","7","In the Carnatic system, what is the 7th swara in the saptak?","Ni","Da","Pa","Ri","Carnatic Theory","indian_classical","beginner","The seven swaras in order are: Sa, Ri, Ga, Ma, Pa, Da, Ni. Ni is the 7th swara.","",""
"gen-indian-carnatic-theory-008","8","Which sthayi (octave register) is described as the ""Lower octave""?","Mandra Sthayi","Tara Sthayi","Madhya Sthayi","","Carnatic Theory","indian_classical","beginner","Mandra Sthayi is the lower octave. The three octave registers are Mandra (lower), Madhya (middle), and Tara (upper).","",""
"gen-indian-carnatic-theory-009","9","Which sthayi (octave register) is described as the ""Middle octave""?","Madhya Sthayi","Tara Sthayi","Mandra Sthayi","","Carnatic Theory","indian_classical","beginner","Madhya Sthayi is the middle octave. The three octave registers are Mandra (lower), Madhya (middle), and Tara (upper).","",""
"gen-indian-carnatic-theory-010","10","Which sthayi (octave register) is described as the ""Upper octave""?","Tara Sthayi","Madhya Sthayi","Mandra Sthayi","","Carnatic Theory","indian_classical","beginner","Tara Sthayi is the upper octave. The three octave registers are Mandra (lower), Madhya (middle), and Tara (upper).","",""
"gen-indian-carnatic-theory-011","11","Which two swaras are considered 'achala' (fixed/immovable) in the Carnatic system?","Sa and Pa","Ri and Ga","Ma and Da","Ga and Ni","Carnatic Theory","indian_classical","beginner","Sa (Shadja) and Pa (Panchama) are achala swaras — they have no variants and remain fixed in pitch.","",""
"gen-indian-carnatic-theory-012","12","How many swaras form the basic scale (saptak) in Indian classical music?","7","5","12","22","Carnatic Theory","indian_classical","beginner","There are 7 swaras: Sa, Ri, Ga, Ma, Pa, Da, Ni — forming the saptak (sapta = seven).","",""
"gen-indian-carnatic-theory-013","13","What does the term 'saptak' literally mean?","A group of seven","A group of five","A group of twelve","A group of twenty-two","Carnatic Theory","indian_classical","beginner","Saptak comes from the Sanskrit word 'sapta' meaning seven, referring to the seven swaras.","",""
