"set_id","question_number","question_text","correct_answer","wrong_answer_1","wrong_answer_2","wrong_answer_3","category","quiz_type","difficulty","explanation","youtube_url","youtube_title","video_url","patreon_url","sources_and_notes","improvement_note"
"carnatic-ragas","1","How many melakarta ragas are there in the Carnatic music system?","72","36","108","48","Carnatic Ragas","indian_classical","beginner","The 72 melakarta (parent/janaka) raga system was systematized by Venkatamakhi in his 17th-century work Chaturdandi Prakasika. Each melakarta is a complete scale of 7 notes ascending and descending (sampoorna raga), and all janya (derivative) ragas are derived from one of these 72 parent scales.","","","","","Chaturdandi Prakasika, Venkatamakhi (17th c.); Raganidhi Vol. 1, P. Subba Rao (Music Academy, Chennai)","Start by memorizing the 72 melakarta framework in groups of 12 (chakras). Each chakra shares the same Rishabha and Gandhara. Knowing the system lets you identify any raga's parent scale instantly — a huge foundation for Carnatic study."
"carnatic-ragas","2","What are the 7 swaras (notes) in Carnatic music?","Sa, Ri, Ga, Ma, Pa, Dha, Ni","Do, Re, Mi, Fa, Sol, La, Si","Sa, Re, Ga, Ma, Pa, Dha, Ni","Sa, Ri, Gi, Ma, Pa, Di, Ni","Carnatic Ragas","indian_classical","beginner","The seven swaras in Carnatic music are Shadja (Sa), Rishabha (Ri), Gandhara (Ga), Madhyama (Ma), Panchama (Pa), Dhaivata (Dha), and Nishada (Ni). Sa and Pa are fixed (achala swaras) and never vary; the others have multiple variants, yielding 16 swarasthanas total across the octave.","","","","","Sangeetha Ratnakara, Sarangadeva (13th c.); Carnatic Music: Composer and his Art, P. Sambamoorthy (Indian Music Publishing House)","Sing all 7 swaras from Sa to Sa in both directions daily. Learn the full names (Shadja, Rishabha, etc.) alongside the short forms. Understanding swaras deeply — including their emotional associations — is the entry point to raga grammar."
"carnatic-ragas","3","What is a 'janya raga' in Carnatic music?","A derivative raga derived from a melakarta (parent) raga by omitting or reordering swaras","A raga invented in the modern era","A raga that uses all 12 chromatic notes","A raga with no fixed ascent or descent pattern","Carnatic Ragas","indian_classical","beginner","A janya raga is derived from a melakarta (janaka/parent raga) by altering the ascending (arohanam) or descending (avarohanam) scale — typically by omitting swaras (vakra or varja ragas), reordering them (vakra ragas), or adding borrowed notes (bhashanga ragas). Most commonly-heard ragas like Bhairavi, Kambhoji, and Kalyani are janya ragas.","","","","","Raganidhi Vol. 1, P. Subba Rao; South Indian Music Book 1-6, P. Sambamoorthy","Learn the janya relationship for every raga you study. Ask: which melakarta is this from? What swaras are omitted? This structural understanding accelerates learning new ragas and helps you hear the family resemblance between related ragas."
"carnatic-ragas","4","What is the arohanam and avarohanam of raga Mayamalavagowla (1st melakarta)?","Aroha: S R1 G3 M1 P D1 N3 S | Avaroha: S N3 D1 P M1 G3 R1 S","Aroha: S R2 G2 M1 P D2 N2 S | Avaroha: S N2 D2 P M1 G2 R2 S","Aroha: S R1 G1 M1 P D1 N1 S | Avaroha: S N1 D1 P M1 G1 R1 S","Aroha: S R2 G3 M1 P D2 N3 S | Avaroha: S N3 D2 P M1 G3 R2 S","Carnatic Ragas","indian_classical","beginner","Mayamalavagowla is the 1st melakarta raga and uses the most natural 'flat' version of swaras: Shuddha Rishabha (R1), Antara Gandhara (G3), Shuddha Madhyama (M1), Shuddha Dhaivata (D1), and Kakali Nishada (N3). It is the foundational raga taught to beginners across all Carnatic disciplines.","","","","","Raganidhi Vol. 2, P. Subba Rao; Beginners' Guide to Carnatic Music, carnatic.com/ragas/mayamalavagowla","Learn the aroha/avaroha of Mayamalavagowla perfectly before any other raga — it is the starting point of all Carnatic education. Sing it slowly as a scale first, then as alankara patterns. Notice how its R1 and G3 create the characteristic minor-second interval that gives it its distinctive flavor."
"carnatic-ragas","5","Which melakarta raga is known as 'Kalyani' in Carnatic music?","Mechakalyani (65th melakarta)","Harikambhoji (28th melakarta)","Shankarabharanam (29th melakarta)","Natabhairavi (20th melakarta)","Carnatic Ragas","indian_classical","beginner","Kalyani corresponds to the 65th melakarta, Mechakalyani. It is one of the most important and beloved ragas in Carnatic music — it uses Pratimadhyama (M2, the augmented 4th) and is equivalent to the Western Lydian mode. Its bright, expansive quality makes it ideal for morning and evening concerts.","","","","","Raganidhi Vol. 3, P. Subba Rao; The Raga Guide, Joep Bor (Nimbus Records, 1999)","Practice Kalyani's scale and identify the M2 (tivra Madhyama) as its defining feature. Sing or play the M2 slowly and hear how it creates an uplifting, wide-open quality. Listen to recordings of Thyagaraja's 'Nidhi Chala Sukhama' (Kalyani) to internalize the raga's character."
"carnatic-ragas","6","What is the 29th melakarta raga?","Shankarabharanam","Kalyani","Kharaharapriya","Harikambhoji","Carnatic Ragas","indian_classical","beginner","Shankarabharanam is the 29th melakarta and corresponds to the Western major scale (S R2 G3 M1 P D2 N3). It is one of the most important ragas in Carnatic music, known for its majestic, auspicious quality. Tyagaraja's 'Endaro Mahanubhavulu' (Pancharatna kriti) is in Shankarabharanam.","","","","","Raganidhi Vol. 2, P. Subba Rao; Music Academy Journal, Chennai","Shankarabharanam sounds similar to the Western major scale but is rendered with distinctive Carnatic gamakas (ornaments). Don't let the Western familiarity fool you — practice its characteristic phrases with full gamaka to understand its true Carnatic identity."
"carnatic-ragas","7","What is the characteristic phrase (sanchara) that identifies raga Bhairavi?","S N D P, M G R S (with extensive gamaka on all notes, especially the G1 and N2)","S R G M P D N S (straight ascending scale)","S G M D N S, S N D M G R S","S R M P N S, S N P M R S","Carnatic Ragas","indian_classical","advanced","Bhairavi's identity lies in its characteristic gamakas and phrases: the komal (lowered) Ga and Ni, the meend (slide) from Pa to Ga, and its bhashanga nature (using swaras outside its parent melakarta). The descending phrase S N D P M G R S with heavy ornamentation on every note is its hallmark.","","","","","Raganidhi Vol. 1, P. Subba Rao; Sruti Magazine archives; Lectures on Indian Music, T.R. Subramanian","Bhairavi cannot be understood through its scale alone — its gamakas are inseparable from its identity. Listen to great vocalists like M.S. Subbulakshmi or Semmangudi Srinivasa Iyer singing Bhairavi and transcribe the characteristic ornaments. Imitation of masters is the fastest path into raga grammar."
"carnatic-ragas","8","What does 'vakra' mean when describing a raga's scale?","The ascent or descent takes a zigzag (non-sequential) path, going back before moving forward","The raga omits certain notes from its parent scale","The raga borrows notes from outside its parent melakarta","The raga has the same notes ascending and descending","Carnatic Ragas","indian_classical","beginner","A vakra (crooked/zigzag) raga has a non-sequential aroha or avaroha — it moves forward and back before reaching the next note. For example, a vakra aroha might go S R G R G M P rather than straight S R G M P. This zigzag movement is not optional; it is a defining characteristic of the raga's grammar.","","","","","Sangeetha Ratnakara, Sarangadeva; Raganidhi Vol. 1, P. Subba Rao","When learning a vakra raga, memorize the exact zigzag pattern — it is a structural rule, not decoration. Sing the vakra phrase slowly until it becomes second nature, then add gamakas. The vakra movement often creates the most distinctive melodic moment in the raga."
"carnatic-ragas","9","What raga is described as 'the king of ragas' and is central to Carnatic music education?","Todi (Subhapantuvarali)","Bhairavi","Shankarabharanam","Kalyani","Carnatic Ragas","indian_classical","beginner","Todi (or Subhapantuvarali, 45th melakarta) is often called the 'King of Ragas' in Carnatic tradition. It has a deeply profound, serious character and is considered among the most difficult ragas to render correctly. Its characteristic komal (flat) Ri, Ga, and Dha create a unique intensity. Almost every Carnatic musician has a major composition in Todi.","","","","","Raganidhi Vol. 3, P. Subba Rao; The Raga Guide, Joep Bor; T.R. Subramanian lecture series","Listen to multiple renditions of Todi — by both vocal and instrumental masters. Notice how different artists approach the intricate gamaka on the Ri. Learning a major Todi kriti (like Tyagaraja's 'Ninnukori') is considered a milestone in Carnatic musical development."
"carnatic-ragas","10","What is the 'vadi swara' of a raga?","The most important or predominant note of the raga — the note given the most emphasis and dwelling time","The first note of the ascending scale","The note that is avoided in the raga","The note that defines the parent melakarta","Carnatic Ragas","indian_classical","beginner","The vadi swara (sometimes called jiva swara or 'life note') is the most important, most emphasized note in a raga's grammar. It is the note the musician returns to most often, dwells on the longest, and which gives the raga its characteristic emotional color. The samvadi is the second most important note, typically a fourth or fifth away.","","","","","Sangeetha Ratnakara, Sarangadeva; Bharat Muni's Natyashastra; North Indian Music Vol. 1, Bhatkhande","Identify the jiva/vadi swara in every raga you learn. Practice compositions starting and ending on the vadi — notice how it acts as a 'home base.' Dwelling on the vadi with gamaka is one of the most powerful ways to evoke the raga's emotional character."
