set_id,question_number,question_text,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,quiz_type,difficulty,explanation,improvement_note,notation_data
"gen-note-reading-001","1","What note is shown on the treble clef staff?","E","Bb","D","Db","Note Reading","staff_notation","beginner","This note is E4, located on the first line of the treble clef.","","X:1
M:4/4
L:1
K:C clef=treble
E"
"gen-note-reading-002","2","What note is shown on the treble clef staff?","F","A","C#","G","Note Reading","staff_notation","beginner","This note is F4, located on the first space of the treble clef.","","X:1
M:4/4
L:1
K:C clef=treble
F"
"gen-note-reading-003","3","What note is shown on the treble clef staff?","G","Eb","D#","Bb","Note Reading","staff_notation","beginner","This note is G4, located on the second line of the treble clef.","","X:1
M:4/4
L:1
K:C clef=treble
G"
"gen-note-reading-004","4","What note is shown on the treble clef staff?","A","Db","Gb","Bb","Note Reading","staff_notation","beginner","This note is A4, located on the second space of the treble clef.","","X:1
M:4/4
L:1
K:C clef=treble
A"
"gen-note-reading-005","5","What note is shown on the treble clef staff?","B","G#","C#","E","Note Reading","staff_notation","beginner","This note is B4, located on the third line of the treble clef.","","X:1
M:4/4
L:1
K:C clef=treble
B"
"gen-note-reading-006","6","What note is shown on the treble clef staff?","C","A#","F","E","Note Reading","staff_notation","beginner","This note is C5, located on the third space of the treble clef.","","X:1
M:4/4
L:1
K:C clef=treble
c"
"gen-note-reading-007","7","What note is shown on the treble clef staff?","D","A#","Eb","Bb","Note Reading","staff_notation","beginner","This note is D5, located on the fourth line of the treble clef.","","X:1
M:4/4
L:1
K:C clef=treble
d"
"gen-note-reading-008","8","What note is shown on the treble clef staff?","E","B","C#","G","Note Reading","staff_notation","beginner","This note is E5, located on the fourth space of the treble clef.","","X:1
M:4/4
L:1
K:C clef=treble
e"
"gen-note-reading-009","9","What note is shown on the treble clef staff?","F","F#","E","Bb","Note Reading","staff_notation","beginner","This note is F5, located on the fifth line of the treble clef.","","X:1
M:4/4
L:1
K:C clef=treble
f"
"gen-note-reading-010","10","What note is shown on the bass clef staff?","G","Gb","A","F","Note Reading","staff_notation","beginner","This note is G2, located on the first line of the bass clef.","","X:1
M:4/4
L:1
K:C clef=bass
G,"
"gen-note-reading-011","11","What note is shown on the bass clef staff?","A","E","Bb","Ab","Note Reading","staff_notation","beginner","This note is A2, located on the first space of the bass clef.","","X:1
M:4/4
L:1
K:C clef=bass
A,"
"gen-note-reading-012","12","What note is shown on the bass clef staff?","B","Ab","A","F#","Note Reading","staff_notation","beginner","This note is B2, located on the second line of the bass clef.","","X:1
M:4/4
L:1
K:C clef=bass
B,"
"gen-note-reading-013","13","What note is shown on the bass clef staff?","C","B","D#","G#","Note Reading","staff_notation","beginner","This note is C3, located on the second space of the bass clef.","","X:1
M:4/4
L:1
K:C clef=bass
C"
"gen-note-reading-014","14","What note is shown on the bass clef staff?","D","Db","C#","Gb","Note Reading","staff_notation","beginner","This note is D3, located on the third line of the bass clef.","","X:1
M:4/4
L:1
K:C clef=bass
D"
"gen-note-reading-015","15","What note is shown on the bass clef staff?","E","C","C#","Gb","Note Reading","staff_notation","beginner","This note is E3, located on the third space of the bass clef.","","X:1
M:4/4
L:1
K:C clef=bass
E"
"gen-note-reading-016","16","What note is shown on the bass clef staff?","F","C#","Ab","A","Note Reading","staff_notation","beginner","This note is F3, located on the fourth line of the bass clef.","","X:1
M:4/4
L:1
K:C clef=bass
F"
"gen-note-reading-017","17","What note is shown on the bass clef staff?","G","D#","B","A","Note Reading","staff_notation","beginner","This note is G3, located on the fourth space of the bass clef.","","X:1
M:4/4
L:1
K:C clef=bass
G"
"gen-note-reading-018","18","What note is shown on the bass clef staff?","A","F#","A#","B","Note Reading","staff_notation","beginner","This note is A3, located on the fifth line of the bass clef.","","X:1
M:4/4
L:1
K:C clef=bass
A"
"gen-note-reading-019","19","What note is shown on the treble clef staff?","F#","A#","E","F","Note Reading","staff_notation","beginner","This note is F#4 on the treble clef.","","X:1
M:4/4
L:1
K:C clef=treble
^F"
