"set_id","question_number","question_text","correct_answer","wrong_answer_1","wrong_answer_2","wrong_answer_3","category","quiz_type","difficulty","explanation","youtube_url","youtube_title","video_url","patreon_url","sources_and_notes","improvement_note"
"theory-scales-modes-001","1","The major scale follows which pattern of whole steps (W) and half steps (H)?","W-W-H-W-W-W-H","W-H-W-W-H-W-W","H-W-W-H-W-W-W","W-W-W-H-W-W-H","Scales & Modes","music_theory","beginner","The major scale formula is W-W-H-W-W-W-H. Two whole steps, a half step, then three whole steps and a final half step — creating the bright, familiar sound of the major scale.","","","","","Beato Book p.8; Kent Hewitt p.6",""
"theory-scales-modes-001","2","Which scale degree most clearly distinguishes a major scale from a minor scale?","The third degree (major 3rd vs minor 3rd)","The fifth degree","The seventh degree","The second degree","Scales & Modes","music_theory","beginner","The third degree is the primary distinguishing factor. A major 3rd (4 half steps) gives a bright quality; a minor 3rd (3 half steps) gives a darker quality.","","","","","Nahre Sol p.75",""
"theory-scales-modes-001","3","Which mode is the first mode of the major scale — essentially the major scale itself?","Ionian","Dorian","Aeolian","Lydian","Scales & Modes","music_theory","beginner","Ionian is the 1st mode of the major scale. It starts on scale degree 1 and has the formula 1-2-3-4-5-6-7 — the standard major scale.","","","","","Beato Book p.16; Nahre Sol p.76",""
"theory-scales-modes-001","4","Playing all the white piano keys from D to D gives you which mode?","Dorian","Phrygian","Locrian","Mixolydian","Scales & Modes","music_theory","beginner","Dorian starts on D (the 2nd note of C major using only white keys). Formula: 1-2-b3-4-5-6-b7. It is a minor mode distinguished by its natural (raised) 6th.","","","","","Nahre Sol p.76; Beato Book p.16",""
"theory-scales-modes-001","5","The Lydian mode is a major scale with which single alteration?","Raised 4th (#4)","Lowered 7th (b7)","Raised 5th (#5)","Lowered 2nd (b2)","Scales & Modes","music_theory","beginner","Lydian = major scale + #4 (raised 4th). Formula: 1-2-3-#4-5-6-7. The raised 4th gives it a bright, floating, dreamlike quality.","","","","","Nahre Sol p.77; Beato Book p.16",""
"theory-scales-modes-001","6","The Mixolydian mode is the major scale with which single alteration?","Lowered 7th (b7)","Raised 4th (#4)","Lowered 6th (b6)","Raised 2nd (#2)","Scales & Modes","music_theory","beginner","Mixolydian = major scale + b7 (lowered 7th). Formula: 1-2-3-4-5-6-b7. This is the dominant mode — used on V7 chords in jazz.","","","","","Nahre Sol p.77; Beato Book p.16",""
"theory-scales-modes-001","7","On which degree of the major scale does the Aeolian mode (natural minor) start?","6th degree","2nd degree","3rd degree","7th degree","Scales & Modes","music_theory","beginner","Aeolian (natural minor) starts on the 6th scale degree. For example, A Aeolian uses all the same notes as C major but starts and ends on A. Formula: 1-2-b3-4-5-b6-b7.","","","","","Beato Book p.16; Nahre Sol p.77",""
"theory-scales-modes-001","8","On which degree of the major scale does the Locrian mode start?","7th degree","5th degree","3rd degree","6th degree","Scales & Modes","music_theory","beginner","Locrian starts on the 7th scale degree. It is rarely used in practice because its tonic triad is diminished (b5), making it harmonically unstable. Formula: 1-b2-b3-4-b5-b6-b7.","","","","","Beato Book p.16; Nahre Sol p.76",""
"theory-scales-modes-001","9","A pentatonic scale has how many notes?","5","6","7","4","Scales & Modes","music_theory","beginner","Penta' comes from the Greek word for five. The major pentatonic formula is 1-2-3-5-6. It removes the 4th and 7th from the major scale, eliminating the most tension-producing degrees.","","","","","Nahre Sol p.75",""
"theory-scales-modes-001","10","The natural minor scale is identical to which mode?","Aeolian","Dorian","Phrygian","Locrian","Scales & Modes","music_theory","beginner","The Aeolian mode (6th mode of the major scale) is identical to the natural minor scale. A natural minor and C major share the same notes — they are relative keys.","","","","","Nahre Sol p.75; Beato Book p.17",""
"theory-scales-modes-001","11","The harmonic minor scale differs from natural minor by raising which scale degree?","The 7th degree","The 6th degree","The 5th degree","The 3rd degree","Scales & Modes","music_theory","beginner","Harmonic minor raises the 7th degree by a half step, creating a leading tone (like in major). This also creates a distinctive augmented 2nd interval between scale degrees 6 and 7.","","","","","Beato Book p.19; Nahre Sol p.75",""
"theory-scales-modes-001","12","The ascending melodic minor scale raises which two degrees compared to natural minor?","The 6th and 7th degrees","The 5th and 7th degrees","The 3rd and 7th degrees","The 6th and 5th degrees","Scales & Modes","music_theory","beginner","Melodic minor (ascending) raises both the 6th and 7th: formula 1-2-b3-4-5-6-7. This avoids the awkward augmented 2nd of harmonic minor and creates a smoother melodic line upward.","","","","","Beato Book p.18; Nahre Sol p.75",""
