"set_id","question_number","question_text","correct_answer","wrong_answer_1","wrong_answer_2","wrong_answer_3","category","quiz_type","difficulty","explanation","improvement_note","youtube_title","sources_and_notes","","","","","","","","","",""
"theory-scales-001","1","What notes make up a C major scale?","C D E F G A B","C D E F# G A B","C D E♭ F G A B","C D E F G A B♭","Scales & Modes","music_theory","beginner","The C major scale uses the pattern W-W-H-W-W-W-H (whole and half steps), producing the natural notes C D E F G A B with no sharps or flats.","Show on a piano keyboard diagram with scale degrees marked and half steps indicated. Have students sing the scale on solfège (Do-Re-Mi).","","Alfred's Essentials of Music Theory, Books 1-2. ABRSM Theory Grade 1-3. Practice: sing scales on solfège (Do-Re-Mi). Tenuto app (musictheory.net) — scale exercises.","","","","","","","","","",""
"theory-scales-001","2","How many whole steps separate the 1st and 3rd notes of a major scale?","2 whole steps (a major 3rd)","1 whole step","1.5 whole steps","2.5 whole steps","Scales & Modes","music_theory","beginner","The 1st to 3rd degree of a major scale spans W-W (two whole steps), creating a major 3rd of 4 semitones — the defining interval that gives major scales their bright quality.","Include a real song example: identify a well-known melody that uses this scale and point out where the scale notes appear.","","Hal Leonard Music Theory Workbook, Level 1. ABRSM Grade 2-3. Recommended: Adam Neely YouTube — scale fundamentals. Practice all scales from C, G, F, D, A, E.","","","","","","","","","",""
"theory-scales-001","3","What is the step pattern of a natural minor scale?","W-H-W-W-H-W-W","W-W-H-W-W-W-H","W-H-W-W-W-H-W","H-W-W-H-W-W-W","Scales & Modes","music_theory","beginner","The natural minor scale (Aeolian mode) follows W-H-W-W-H-W-W, giving it a darker, sadder quality compared to the major scale pattern W-W-H-W-W-W-H.","Add a practical exercise: write out this scale from three different root notes (C, G, F) to reinforce the interval pattern.","","Music Theory for Beginners (Robert Wallis, Rockschool). ABRSM Grade 2-4 scale requirements. Alfred's Music Theory Workbook.","","","","","","","","","",""
"theory-scales-001","4","What is the 6th mode of the major scale called?","Aeolian","Dorian","Phrygian","Mixolydian","Scales & Modes","music_theory","beginner","The 7 modes of the major scale in order are: Ionian, Dorian, Phrygian, Lydian, Mixolydian, Aeolian, Locrian. The 6th mode, Aeolian, is identical to the natural minor scale.","Connect to instrument: show the scale as a fingering pattern on both piano keyboard and bass guitar neck for practical context.","","Alfred's Essentials of Music Theory. Practice: begin every lesson with a 5-minute scale routine in C, G, F, and A minor. Rockschool Grade 2-4.","","","","","","","","","",""
"theory-scales-001","5","How many notes are in a pentatonic scale?","5","6","7","8","Scales & Modes","music_theory","beginner","Penta' means five. The major pentatonic omits the 4th and 7th degrees of the major scale, removing all semitone relationships and creating an open, versatile sound.","Add ear training: play the scale and have students identify it from two options by sound before revealing the answer.","","Music Theory: The Complete Guide (Jake Jackson). ABRSM Grade 2-4. Teach scales in the context of songs students already know and love.","","","","","","","","","",""
"theory-scales-001","6","The harmonic minor scale differs from natural minor by raising which degree?","The 7th degree","The 6th degree","The 5th degree","The 3rd degree","Scales & Modes","music_theory","beginner","The harmonic minor raises the 7th degree by a half step to create a leading tone that strongly resolves to the tonic. This also creates an augmented 2nd between the 6th and 7th degrees.","Show on a piano keyboard diagram with scale degrees marked and half steps indicated. Have students sing the scale on solfège (Do-Re-Mi).","","Alfred's Essentials of Music Theory, Books 1-2. ABRSM Theory Grade 1-3. Practice: sing scales on solfège (Do-Re-Mi). Tenuto app (musictheory.net) — scale exercises.","","","","","","","","","",""
"theory-scales-001","7","What is a whole tone scale?","A 6-note scale where every interval is a whole step","A scale using only whole notes","A major scale without half steps","A 7-note symmetric scale","Scales & Modes","music_theory","beginner","The whole tone scale has 6 notes, each a whole step apart (e.g. C D E F# G# A#). Because of its total symmetry, there are only 2 unique whole tone scales. It creates a dreamy, ambiguous sound.","Include a real song example: identify a well-known melody that uses this scale and point out where the scale notes appear.","","Hal Leonard Music Theory Workbook, Level 1. ABRSM Grade 2-3. Recommended: Adam Neely YouTube — scale fundamentals. Practice all scales from C, G, F, D, A, E.","","","","","","","","","",""
"theory-scales-001","8","What does 'relative minor' mean?","A minor key that shares the same key signature as a major key","A minor scale a half step below a major scale","A minor scale built on the 5th degree","A minor scale with the same tonic note","Scales & Modes","music_theory","beginner","Every major key has a relative minor starting on its 6th degree with the same key signature. For example, A minor is the relative minor of C major — both use no sharps or flats.","Add a practical exercise: write out this scale from three different root notes (C, G, F) to reinforce the interval pattern.","","Music Theory for Beginners (Robert Wallis, Rockschool). ABRSM Grade 2-4 scale requirements. Alfred's Music Theory Workbook.","","","","","","","","","",""
"theory-scales-001","9","Which scale is C major's relative minor?","A natural minor","E minor","D minor","G minor","Scales & Modes","music_theory","beginner","The relative minor of any major key starts on the 6th degree. The 6th degree of C major is A, so A natural minor is the relative minor of C major. Both use the same notes (no sharps or flats).","Connect to instrument: show the scale as a fingering pattern on both piano keyboard and bass guitar neck for practical context.","","Alfred's Essentials of Music Theory. Practice: begin every lesson with a 5-minute scale routine in C, G, F, and A minor. Rockschool Grade 2-4.","","","","","","","","","",""
"theory-scales-001","10","What is the blues scale?","A minor pentatonic scale with an added ♭5 (the blue note)","A major scale with a ♭3","A whole tone scale with added notes","A diminished scale with 6 notes","Scales & Modes","music_theory","beginner","The blues scale adds a ♭5 (flat five, the 'blue note') to the minor pentatonic. In C: C E♭ F G♭ G B♭. The ♭5 creates the characteristic blues tension between the ♭5 and the natural 5th.","Add ear training: play the scale and have students identify it from two options by sound before revealing the answer.","","Music Theory: The Complete Guide (Jake Jackson). ABRSM Grade 2-4. Teach scales in the context of songs students already know and love.","","","","","","","","","",""
